throughput	time
0	2019-08-25T22:37:03.000Z
86269.533	2019-08-25T22:37:33.000Z
83583.633	2019-08-25T22:38:03.000Z
99445.733	2019-08-25T22:38:33.000Z
94031.3	2019-08-25T22:39:03.000Z
89779.133	2019-08-25T22:39:33.000Z
98201.333	2019-08-25T22:40:03.000Z
102542.6	2019-08-25T22:40:33.000Z
83947.133	2019-08-25T22:41:03.000Z
92465.233	2019-08-25T22:41:33.000Z
103711.066	2019-08-25T22:42:03.000Z
92629.567	2019-08-25T22:42:33.000Z
101338.7	2019-08-25T22:43:03.000Z
82449.366	2019-08-25T22:43:33.000Z
92386.967	2019-08-25T22:44:03.000Z
83191.867	2019-08-25T22:44:33.000Z
85168.367	2019-08-25T22:45:03.000Z
87222.567	2019-08-25T22:45:33.000Z
94299.467	2019-08-25T22:46:03.000Z
83312.5	2019-08-25T22:46:33.000Z
38374.3	2019-08-25T22:47:03.000Z
71979.933	2019-08-25T22:47:33.000Z
43825.4	2019-08-25T22:48:03.000Z
30204.4	2019-08-25T22:48:33.000Z
55742.6	2019-08-25T22:49:03.000Z
66620.166	2019-08-25T22:49:33.000Z
70877.867	2019-08-25T22:50:03.000Z
71404.467	2019-08-25T22:50:33.000Z
66850.767	2019-08-25T22:51:03.000Z
72106.4	2019-08-25T22:51:33.000Z
38500.967	2019-08-25T22:52:03.000Z
34272.167	2019-08-25T22:52:33.000Z
65837.267	2019-08-25T22:53:03.000Z
36268.167	2019-08-25T22:53:33.000Z
48980.467	2019-08-25T22:54:03.000Z
49518.534	2019-08-25T22:54:33.000Z
33884.567	2019-08-25T22:55:03.000Z
36532.567	2019-08-25T22:55:33.000Z
62170.334	2019-08-25T22:56:03.000Z
65556.4	2019-08-25T22:56:33.000Z
63661.1	2019-08-25T22:57:03.000Z
58477.4	2019-08-25T22:57:33.000Z
66915.967	2019-08-25T22:58:03.000Z
74079.8	2019-08-25T22:58:33.000Z
72064.467	2019-08-25T22:59:03.000Z
92126.3	2019-08-25T22:59:33.000Z
66109.033	2019-08-25T23:00:03.000Z
65302.767	2019-08-25T23:00:33.000Z
69682.534	2019-08-25T23:01:03.000Z
